program1,pct_stu_safe,academicopportunities1,seats9ge5,fax_number,location,method4,rank,dense_rank
College and University Transitional Seminar,0.85,Academic programs are humanities-based and aligned to Common Core standards which ensure that students are prepared for college and university life.,,718-295-3655,"500 EAST FORDHAM ROAD, BRONX NY 10458(40.859466, -73.888625)",,1,1
Epic High School - North,0.92,Culturally relevant practices; Blended instruction with both teacher-led classes and use of digital resources; Real-world problem-based learning,,718-570-8231,"94-25 117TH STREET, SOUTH RICHMOND HILL NY 11419(40.693013, -73.829409)",,1,1
STEM Institute for Science Research,0.71,Our Pre-Med students take a rigorous slate of Honors and AP STEM classes while interning at prestigious universities and health facilities,,718-217-6287,"230-17 HILLSIDE AVENUE, QUEENS VILLAGE NY 11427(40.733888, -73.739726)",Zoned Priority,1,1
The Urban Assembly School for Emergency Management,0.87,"Emergency Medicine Pathway: free CUNY college credit and Emergency Medical Technician (EMT) certification, driver's training program, and preferential hiring with a hospital partner and the FDNY",,212-225-0996,"411 PEARL STREET, MANHATTAN NY 10038(40.711441, -74.000851)",,1,1
The Clinton School,0.9,"""IB for All""-11th and 12th grade Clintonians take three higher level and three standard level International Baccalaureate courses.",,212-524-4365,"10 EAST 15TH STREET, MANHATTAN NY 10003(40.736526, -73.992727)",,1,1
Comprehensive Model School Project (CMSP),0.89,After-School and Saturday Tutoring,,718-294-8109,"1501 JEROME AVENUE, BRONX NY 10452(40.842503, -73.916084)",,1,1
Academy for Excellence,0.71,Saturday Regents prep; PM school; Saturday school; PSAT/SAT Prep Courses; Academic Lunch Club,,718-931-8366,"1122 EAST 180TH STREET, BRONX NY 10460(40.841376, -73.875262)",,1,1
Sport Management,0.78,"Sports Management Executive Leadership, Business of Sport Journal, Student Leadership Council, Event Planning of PSAL Sporting Events.",,718-333-7675,"2630 BENSON AVENUE, BROOKLYN NY 11214(40.593028, -73.986313)",,1,1
Bronx Studio School for Writers and Artists,0.77,"Character Development: advisory, career development/occupational studies, leadership elevate, peer group connection (PGC Leaders), global leadership",,718-893-5982,"928 SIMPSON STREET, BRONX NY 10459(40.820388, -73.892961)",,1,1
Khalil Gibran International Academy,0.85,iLearnNYC: Program for expanded online coursework and self-paced learning,,718-488-1724,"362 SCHERMERHORN STREET, BROOKLYN NY 11217(40.686147, -73.979829)",,1,1
Instrumental Music,0.77,"Chancellor's Endorsed Diploma in Five Arts Studios- Drama, Dance (including hip hop), Instrumental Music (Jazz at Lincoln Center curriculum), Vocal Music, & Visual Arts",27,718-584-5102,"2225 WEBSTER AVENUE, BRONX NY 10457(40.854257, -73.897404)",Audition,1,1
Metropolitan Diploma Plus High School,0.9,The Learning to Work partner for Metropolitan Diploma Plus High School is New York City Mission Society.,,718-342-6329,"985 ROCKAWAY AVENUE, BROOKLYN NY 11212(40.655644, -73.906662)",,1,1
Software Engineering Institute,0.76,International Baccalaureate (IB): Curtis HS is authorized by the IB Organization to offer the Diploma Programme.,46,718-556-4800,"105 HAMILTON AVENUE, STATEN ISLAND NY 10301(40.645436, -74.082149)",Open,1,1
Digital Media/Recording Entertainment Technology,0.92,Students graduate with Career and Technical Education Diploma,,718-561-8707,"2474 CROTONA AVENUE, BRONX NY 10458(40.855392, -73.882487)",,1,1
Computer Forensic Science and Technology,0.76,"FRC/FTC, Robotics, Justice Resource Center (JRC) partnership provides course pathways in Law Enforcement, AVID college- and career-readiness program",58,718-647-4458,"1 WELLS STREET, BROOKLYN NY 11208(40.67878, -73.875328)",Screened,1,1
The Bronxwood Preparatory Academy,0.82,"Saturday academy for tutoring, program for expanded online coursework and self-paced learning",,718-696-3821,"921 EAST 228TH STREET, BRONX NY 10466(40.888242, -73.852714)",,1,1
The Cinema School,0.89,Four-Year cinema studies curriculum in narrative filmmaking,,718-620-2561,"1551 EAST 172ND STREET, BRONX NY 10472(40.832508, -73.878191)",,1,1
Jacob K. Javits Law Institute,0.87,iLearnNYC: Program for expanded online coursework and self-paced learning,N/A - zoned program,718-746-2017,"58-20 UTOPIA PARKWAY, FRESH MEADOWS NY 11365(40.740875, -73.795049)",Screened,1,1
Arts & Technology,0.7,Spanish-LOTE,,917-441-3693,"122 AMSTERDAM AVENUE, MANHATTAN NY 10023(40.774891, -73.985608)",,1,1
Hillside Arts & Letters Academy,0.9,"Art, Music, Writing, Advisory Classes, Lifeguard Certification, College/Career Counseling, SAT Prep, CUNY College Now, & Regents Prep",,718-658-1613,"167-01 GOTHIC DRIVE, JAMAICA NY 11432(40.714551, -73.798658)",,1,1
Bronx Aerospace High School,0.75,The Aviation program teaches the engineering and aerodynamics involved in flying aircrafts to complete Ground School and pass the FAA Written Exam,,718-696-6030,"800 EAST GUN HILL ROAD, BRONX NY 10467(40.875172, -73.861649)",,1,1
