t2_street_name,t6_street_name,gi_req_external_structure,meet_standards,avg_tank_num,total_amount,avg_amount,max_amount,min_amount
Broadway,Broadway,Y,,1.0,5,1.0,1,1
West End Avenue,West End Avenue,Y,,1.2857142857142858,27,1.2857142857142858,2,1
Park Avenue,Park Avenue,Y,,1.25,20,1.25,2,1
LEXINGTON AVE,LEXINGTON AVE,Y,,1.0,16,1.0,1,1
