source_relation,date_day,organization_id,organization_name,campaign_id,campaign_name,ad_group_id,ad_group_name,currency,ad_group_status,start_at,end_at,taps,new_downloads,tap_new_downloads,redownloads,tap_redownloads,total_downloads,tap_total_downloads,conversions,tap_installs,impressions,spend,lat_off_installs
"",2021-12-19,3219110,Tip Tap Cat,973923054,Tap Away,983960442,Bored Ad Group,USD,ENABLED,2021-12-14 00:00:00,2022-01-14 23:59:59.999,0,0,0,0,0,0,0,0,0,2,0,0
"",2021-12-12,3219110,Tip Tap Cat,973923054,Tap Away,976005125,Kitty Cat Tap,USD,ENABLED,2021-12-09 00:00:00,2022-01-31 23:59:00,7,2,2,0,0,2,2,2,2,249,5.56,0
"",2021-12-20,3219110,Tip Tap Cat,973923054,Tap Away,976005125,Kitty Cat Tap,USD,ENABLED,2021-12-09 00:00:00,2022-01-31 23:59:00,3,0,0,0,0,0,0,0,0,63,0.32,0
"",2021-12-16,3219110,Tip Tap Cat,973923054,Tap Away,976005125,Kitty Cat Tap,USD,ENABLED,2021-12-09 00:00:00,2022-01-31 23:59:00,5,1,1,0,0,1,1,1,1,318,5.07,0
"",2021-12-11,3219110,Tip Tap Cat,973923054,Tap Away,976005125,Kitty Cat Tap,USD,ENABLED,2021-12-09 00:00:00,2022-01-31 23:59:00,5,1,1,0,0,1,1,1,1,290,5.71,0
"",2021-12-13,3219110,Tip Tap Cat,973923054,Tap Away,976005125,Kitty Cat Tap,USD,ENABLED,2021-12-09 00:00:00,2022-01-31 23:59:00,7,1,1,0,0,1,1,1,1,492,5.26,0
"",2021-12-19,3219110,Tip Tap Cat,973923054,Tap Away,976005125,Kitty Cat Tap,USD,ENABLED,2021-12-09 00:00:00,2022-01-31 23:59:00,9,4,4,0,0,4,4,4,4,424,5.95,0
"",2021-12-09,3219110,Tip Tap Cat,973923054,Tap Away,976005125,Kitty Cat Tap,USD,ENABLED,2021-12-09 00:00:00,2022-01-31 23:59:00,31,1,1,0,0,1,1,1,1,1605,25.08,0
"",2021-12-18,3219110,Tip Tap Cat,973923054,Tap Away,976005125,Kitty Cat Tap,USD,ENABLED,2021-12-09 00:00:00,2022-01-31 23:59:00,9,2,2,0,0,2,2,2,2,403,5,0
"",2021-12-15,3219110,Tip Tap Cat,973923054,Tap Away,976005125,Kitty Cat Tap,USD,ENABLED,2021-12-09 00:00:00,2022-01-31 23:59:00,10,3,3,0,0,3,3,3,3,546,6.05,0
"",2021-12-10,3219110,Tip Tap Cat,973923054,Tap Away,976005125,Kitty Cat Tap,USD,ENABLED,2021-12-09 00:00:00,2022-01-31 23:59:00,27,6,6,0,0,6,6,6,6,1494,25.88,1
"",2021-12-14,3219110,Tip Tap Cat,973923054,Tap Away,976005125,Kitty Cat Tap,USD,ENABLED,2021-12-09 00:00:00,2022-01-31 23:59:00,11,4,4,0,0,4,4,4,4,350,5.03,0
"",2021-12-17,3219110,Tip Tap Cat,973923054,Tap Away,976005125,Kitty Cat Tap,USD,ENABLED,2021-12-09 00:00:00,2022-01-31 23:59:00,5,0,0,0,0,0,0,0,0,100,5.09,0
