source_relation,ad_id,ad_name,title,title_part_1,title_part_2,title_part_3,final_url,domain,ad_group_id,modified_at,status,type,is_most_recent_record
"",83425489849364,7Wzn6woQmbWz7u9JX7VLrQ==,Amazon DynamoDB Sync,7Wzn6woQmbWz7u9JX7VLrQ==,Seamless No-Code ETL,Fast & Reliable Data Pipelines,landing_page_6,domain,1334807376555972,2019-04-18 13:49:11.797,Active,Expanded Text Ad,t
"",83425489849365,Ggg6SfVdFT+XvFwzXH5f7w==,Bing Ads Data Integration,Ggg6SfVdFT+XvFwzXH5f7w==,Easy Bing Ads Reporting,Automate Your Marketing Data,landing_page_5,domain,1334807376555988,2019-04-18 13:49:11.797,Active,Expanded Text Ad,t
"",83631648270348,VDc1NVjlQblN+eNbripfsQ==,Facebook Ads Data Connector,VDc1NVjlQblN+eNbripfsQ==,Seamless Facebook Ads Sync,Start Analyzing Data Instantly,landing_page_3,domain,1338105911256023,2019-04-18 13:49:16.373,Active,Expanded Text Ad,t
"",83631648270349,e7L/v/fiGh2rg37b19Quew==,Intercom Data Sync,e7L/v/fiGh2rg37b19Quew==,Automate Customer Data Transfer,Integrate in Minutes,landing_page_4,domain,1338105911256039,2019-04-18 13:49:16.373,Active,Expanded Text Ad,t
"",83769087188947,8megrr5FKm6ChQILJK65Cg==,Google Analytics Integration,8megrr5FKm6ChQILJK65Cg==,Sync Your Analytics Data,No Maintenance Required,landing_page_2,domain,1340304934202265,2019-04-18 13:49:15.253,Active,Expanded Text Ad,t
"",83769087188948,LKxLUP62OMuqYOnH5orp0A==,Connect Marketo with Fivetran,LKxLUP62OMuqYOnH5orp0A==,Automate Your Data Pipeline,No Maintenance Required,landing_page_1,domain,1340304934202281,2019-04-18 13:49:15.253,Active,Expanded Text Ad,t
"",84181395865928,WwfGmlh/43PQDdH8bbMi9Q==,Fivetran: Automated Data Pipelines,WwfGmlh/43PQDdH8bbMi9Q==,Connect Your Data Effortlessly,Get Started in Minutes,homepage,domain,1346901938949023,2019-04-18 13:46:01.61,Active,Expanded Text Ad,t
"",84181395865931,WwfGmlh/43PQDdH8bbMi9Q==,Fivetran Demo - See It in Action,WwfGmlh/43PQDdH8bbMi9Q==,Try Our Hands-On Demo Today,See How It Works,landing_page_7,domain,1346901938949039,2019-04-18 13:46:01.61,Active,Expanded Text Ad,t
"",84181395865934,WwfGmlh/43PQDdH8bbMi9Q==,Fivetran: Automated Data Pipelines,WwfGmlh/43PQDdH8bbMi9Q==,ETL Without the Hassle,Get Started in Minutes,homepage,domain,1346901938949055,2019-04-18 13:46:01.61,Active,Expanded Text Ad,t
"",84181395865939,WwfGmlh/43PQDdH8bbMi9Q==,Fivetran: Automated Data Pipelines,WwfGmlh/43PQDdH8bbMi9Q==,ETL Without the Hassle,Get Started in Minutes,homepage,domain,1346901938949071,2019-04-18 13:46:01.61,Active,Expanded Text Ad,t
