_fivetran_synced,campaign_id,clicks,conversion,conversion_rate,cost_per_conversion,country_code,cpc,cpm,ctr,impressions,real_time_conversion,spend,stat_time_day
2025-04-21 10:00:00,1,220,70,0.318,2.571,US,0.73,9.8,0.022,10000,65,154.6,2025-04-15 00:00:00
2025-04-21 10:00:00,2,210,65,0.31,2.615,CA,0.72,10,0.021,9800,60,150,2025-04-16 00:00:00
2025-04-21 10:00:00,3,180,58,0.322,2.759,GB,0.7,9.7,0.019,9500,55,138.2,2025-04-17 00:00:00
2025-04-21 10:00:00,4,200,66,0.33,2.727,AU,0.74,10.3,0.02,9900,62,145.9,2025-04-18 00:00:00
2025-04-21 10:00:00,1,230,72,0.313,2.639,US,0.76,10.4,0.023,10000,70,165.6,2025-04-19 00:00:00
2025-04-21 10:00:00,2,195,61,0.313,2.623,CA,0.71,9.6,0.02,9700,58,140,2025-04-20 00:00:00
2025-04-21 10:00:00,3,185,59,0.319,2.712,GB,0.69,9.8,0.019,9600,56,135,2025-04-10 00:00:00
2025-04-21 10:00:00,4,205,68,0.332,2.647,AU,0.75,10.1,0.021,9800,64,145.9,2025-04-11 00:00:00
2025-04-21 10:00:00,1,215,69,0.321,2.623,US,0.74,10.2,0.022,9900,66,150.9,2025-04-12 00:00:00
2025-04-21 10:00:00,2,225,71,0.316,2.676,CA,0.77,10.5,0.023,10000,68,160,2025-04-13 00:00:00
2025-04-21 10:00:00,2,100,80,0.254,2.545,US,0.654,9.54,0.0125,5000,40,100,2025-04-13 00:00:00
